epoch: 0, train loss: 2.7285, train accuracy: 10.24%, valid accuracy: 13.0%, time: 2022-11-21 08:53:38
epoch: 1, train loss: 2.6284, train accuracy: 14.26%, valid accuracy: 17.0%, time: 2022-11-21 08:54:02
epoch: 2, train loss: 2.563, train accuracy: 16.76%, valid accuracy: 18.0%, time: 2022-11-21 08:54:27
epoch: 3, train loss: 2.4887, train accuracy: 19.46%, valid accuracy: 21.5%, time: 2022-11-21 08:54:52
epoch: 4, train loss: 2.4114, train accuracy: 23.78%, valid accuracy: 21.5%, time: 2022-11-21 08:55:17
epoch: 5, train loss: 2.3428, train accuracy: 26.76%, valid accuracy: 24.0%, time: 2022-11-21 08:55:43
epoch: 6, train loss: 2.2392, train accuracy: 30.46%, valid accuracy: 28.0%, time: 2022-11-21 08:56:13
epoch: 7, train loss: 2.1502, train accuracy: 32.38%, valid accuracy: 34.0%, time: 2022-11-21 08:56:40
epoch: 8, train loss: 2.0272, train accuracy: 37.66%, valid accuracy: 31.0%, time: 2022-11-21 08:57:07
epoch: 9, train loss: 1.946, train accuracy: 40.36%, valid accuracy: 35.0%, time: 2022-11-21 08:57:33
epoch: 10, train loss: 1.8647, train accuracy: 41.94%, valid accuracy: 34.5%, time: 2022-11-21 08:58:00
epoch: 11, train loss: 1.7914, train accuracy: 44.8%, valid accuracy: 34.0%, time: 2022-11-21 08:58:27
epoch: 12, train loss: 1.7472, train accuracy: 45.24%, valid accuracy: 39.5%, time: 2022-11-21 08:58:53
epoch: 13, train loss: 1.6922, train accuracy: 48.46%, valid accuracy: 43.5%, time: 2022-11-21 08:59:19
epoch: 14, train loss: 1.6547, train accuracy: 48.56%, valid accuracy: 44.5%, time: 2022-11-21 08:59:44
epoch: 15, train loss: 1.6042, train accuracy: 51.2%, valid accuracy: 39.5%, time: 2022-11-21 09:00:10
epoch: 16, train loss: 1.5479, train accuracy: 53.32%, valid accuracy: 42.0%, time: 2022-11-21 09:00:36
epoch: 17, train loss: 1.5124, train accuracy: 53.96%, valid accuracy: 44.0%, time: 2022-11-21 09:01:02
epoch: 18, train loss: 1.4924, train accuracy: 54.58%, valid accuracy: 47.0%, time: 2022-11-21 09:01:31
epoch: 19, train loss: 1.4662, train accuracy: 54.98%, valid accuracy: 43.5%, time: 2022-11-21 09:01:58
epoch: 20, train loss: 1.4175, train accuracy: 56.8%, valid accuracy: 43.5%, time: 2022-11-21 09:02:25
epoch: 21, train loss: 1.422, train accuracy: 56.42%, valid accuracy: 42.0%, time: 2022-11-21 09:02:52
epoch: 22, train loss: 1.3812, train accuracy: 58.06%, valid accuracy: 43.0%, time: 2022-11-21 09:03:19
epoch: 23, train loss: 1.338, train accuracy: 59.18%, valid accuracy: 45.0%, time: 2022-11-21 09:03:45
epoch: 24, train loss: 1.292, train accuracy: 60.06%, valid accuracy: 44.0%, time: 2022-11-21 09:04:11
epoch: 25, train loss: 1.2746, train accuracy: 61.94%, valid accuracy: 46.0%, time: 2022-11-21 09:04:38
epoch: 26, train loss: 1.2703, train accuracy: 60.68%, valid accuracy: 48.0%, time: 2022-11-21 09:05:04
epoch: 27, train loss: 1.2524, train accuracy: 62.88%, valid accuracy: 48.5%, time: 2022-11-21 09:05:29
epoch: 28, train loss: 1.1933, train accuracy: 64.24%, valid accuracy: 48.0%, time: 2022-11-21 09:05:54
epoch: 29, train loss: 1.1755, train accuracy: 63.9%, valid accuracy: 42.5%, time: 2022-11-21 09:06:19
epoch: 30, train loss: 1.138, train accuracy: 64.92%, valid accuracy: 46.5%, time: 2022-11-21 09:06:43
epoch: 31, train loss: 1.1171, train accuracy: 65.52%, valid accuracy: 47.5%, time: 2022-11-21 09:07:08
epoch: 32, train loss: 1.1325, train accuracy: 66.34%, valid accuracy: 46.5%, time: 2022-11-21 09:07:33
epoch: 33, train loss: 1.0939, train accuracy: 66.98%, valid accuracy: 46.0%, time: 2022-11-21 09:07:58
epoch: 34, train loss: 1.0912, train accuracy: 66.98%, valid accuracy: 48.0%, time: 2022-11-21 09:08:23
epoch: 35, train loss: 1.0553, train accuracy: 67.72%, valid accuracy: 46.5%, time: 2022-11-21 09:08:47
epoch: 36, train loss: 1.0361, train accuracy: 69.7%, valid accuracy: 46.0%, time: 2022-11-21 09:09:13
epoch: 37, train loss: 1.0058, train accuracy: 68.78%, valid accuracy: 43.5%, time: 2022-11-21 09:09:40
epoch: 38, train loss: 0.9677, train accuracy: 71.24%, valid accuracy: 49.0%, time: 2022-11-21 09:10:06
epoch: 39, train loss: 0.9705, train accuracy: 70.46%, valid accuracy: 48.5%, time: 2022-11-21 09:10:32
epoch: 40, train loss: 0.9523, train accuracy: 70.72%, valid accuracy: 47.0%, time: 2022-11-21 09:10:58
epoch: 41, train loss: 0.9455, train accuracy: 71.4%, valid accuracy: 49.5%, time: 2022-11-21 09:11:26
epoch: 42, train loss: 0.9438, train accuracy: 71.5%, valid accuracy: 48.0%, time: 2022-11-21 09:11:51
