epoch: 0, train loss: 2.7505, train accuracy: 11.4%, valid accuracy: 5.0%, time: 2022-11-21 18:44:36
epoch: 1, train loss: 2.743, train accuracy: 11.8%, valid accuracy: 13.0%, time: 2022-11-21 18:44:55
epoch: 2, train loss: 2.7381, train accuracy: 12.5%, valid accuracy: 13.0%, time: 2022-11-21 18:45:14
epoch: 3, train loss: 2.7249, train accuracy: 14.2%, valid accuracy: 13.0%, time: 2022-11-21 18:45:33
epoch: 4, train loss: 2.7146, train accuracy: 16.2%, valid accuracy: 11.0%, time: 2022-11-21 18:45:52
epoch: 5, train loss: 2.6939, train accuracy: 19.3%, valid accuracy: 14.0%, time: 2022-11-21 18:46:11
epoch: 6, train loss: 2.6533, train accuracy: 24.1%, valid accuracy: 20.0%, time: 2022-11-21 18:46:31
epoch: 7, train loss: 2.6212, train accuracy: 26.3%, valid accuracy: 16.0%, time: 2022-11-21 18:46:51
epoch: 8, train loss: 2.6135, train accuracy: 27.1%, valid accuracy: 23.0%, time: 2022-11-21 18:47:10
epoch: 9, train loss: 2.5833, train accuracy: 29.7%, valid accuracy: 17.0%, time: 2022-11-21 18:47:29
epoch: 10, train loss: 2.5744, train accuracy: 30.0%, valid accuracy: 22.0%, time: 2022-11-21 18:47:48
epoch: 11, train loss: 2.5433, train accuracy: 34.7%, valid accuracy: 22.0%, time: 2022-11-21 18:48:06
epoch: 12, train loss: 2.5188, train accuracy: 37.8%, valid accuracy: 30.0%, time: 2022-11-21 18:48:25
epoch: 13, train loss: 2.5003, train accuracy: 39.4%, valid accuracy: 28.0%, time: 2022-11-21 18:48:43
epoch: 14, train loss: 2.4775, train accuracy: 41.7%, valid accuracy: 25.0%, time: 2022-11-21 18:49:02
epoch: 15, train loss: 2.4649, train accuracy: 42.7%, valid accuracy: 35.0%, time: 2022-11-21 18:49:20
epoch: 16, train loss: 2.4509, train accuracy: 44.0%, valid accuracy: 34.0%, time: 2022-11-21 18:49:39
epoch: 17, train loss: 2.4647, train accuracy: 43.0%, valid accuracy: 36.0%, time: 2022-11-21 18:49:57
epoch: 18, train loss: 2.4279, train accuracy: 46.6%, valid accuracy: 35.0%, time: 2022-11-21 18:50:16
epoch: 19, train loss: 2.4052, train accuracy: 48.4%, valid accuracy: 34.0%, time: 2022-11-21 18:50:34
