epoch: 0, train loss: 2.7604, train accuracy: 11.4%, valid accuracy: 11.0%, time: 2022-11-19 15:12:25
epoch: 1, train loss: 2.7517, train accuracy: 9.1%, valid accuracy: 11.5%, time: 2022-11-19 15:12:30
epoch: 2, train loss: 2.7466, train accuracy: 11.8%, valid accuracy: 11.0%, time: 2022-11-19 15:12:36
epoch: 3, train loss: 2.7401, train accuracy: 12.5%, valid accuracy: 11.0%, time: 2022-11-19 15:12:41
epoch: 4, train loss: 2.7441, train accuracy: 11.7%, valid accuracy: 11.5%, time: 2022-11-19 15:12:46
epoch: 5, train loss: 2.7429, train accuracy: 10.6%, valid accuracy: 11.0%, time: 2022-11-19 15:12:51
epoch: 6, train loss: 2.7382, train accuracy: 14.0%, valid accuracy: 15.0%, time: 2022-11-19 15:12:54
epoch: 7, train loss: 2.7116, train accuracy: 17.3%, valid accuracy: 12.0%, time: 2022-11-19 15:12:57
epoch: 8, train loss: 2.6822, train accuracy: 19.7%, valid accuracy: 20.5%, time: 2022-11-19 15:13:01
epoch: 9, train loss: 2.6532, train accuracy: 23.1%, valid accuracy: 20.5%, time: 2022-11-19 15:13:04
epoch: 10, train loss: 2.6495, train accuracy: 21.7%, valid accuracy: 21.0%, time: 2022-11-19 15:13:07
epoch: 11, train loss: 2.6096, train accuracy: 25.6%, valid accuracy: 17.5%, time: 2022-11-19 15:13:10
epoch: 12, train loss: 2.5904, train accuracy: 28.0%, valid accuracy: 26.5%, time: 2022-11-19 15:13:13
epoch: 13, train loss: 2.5632, train accuracy: 31.7%, valid accuracy: 24.0%, time: 2022-11-19 15:13:16
epoch: 14, train loss: 2.5512, train accuracy: 32.6%, valid accuracy: 28.0%, time: 2022-11-19 15:13:22
epoch: 15, train loss: 2.5318, train accuracy: 33.7%, valid accuracy: 26.5%, time: 2022-11-19 15:13:27
epoch: 16, train loss: 2.5145, train accuracy: 34.7%, valid accuracy: 27.0%, time: 2022-11-19 15:13:33
epoch: 17, train loss: 2.5012, train accuracy: 36.2%, valid accuracy: 28.5%, time: 2022-11-19 15:13:38
epoch: 18, train loss: 2.4864, train accuracy: 38.5%, valid accuracy: 27.0%, time: 2022-11-19 15:13:44
epoch: 19, train loss: 2.4662, train accuracy: 41.5%, valid accuracy: 28.0%, time: 2022-11-19 15:13:49
epoch: 20, train loss: 2.4646, train accuracy: 41.8%, valid accuracy: 27.5%, time: 2022-11-19 15:13:55
epoch: 21, train loss: 2.4809, train accuracy: 40.5%, valid accuracy: 27.0%, time: 2022-11-19 15:14:00
epoch: 22, train loss: 2.451, train accuracy: 43.3%, valid accuracy: 25.0%, time: 2022-11-19 15:14:06
epoch: 23, train loss: 2.4132, train accuracy: 45.7%, valid accuracy: 27.5%, time: 2022-11-19 15:14:11
epoch: 24, train loss: 2.3905, train accuracy: 49.2%, valid accuracy: 28.0%, time: 2022-11-19 15:14:17
epoch: 25, train loss: 2.3681, train accuracy: 51.7%, valid accuracy: 27.5%, time: 2022-11-19 15:14:22
epoch: 26, train loss: 2.329, train accuracy: 54.4%, valid accuracy: 26.5%, time: 2022-11-19 15:14:27
epoch: 27, train loss: 2.3175, train accuracy: 57.7%, valid accuracy: 31.5%, time: 2022-11-19 15:14:32
epoch: 28, train loss: 2.2847, train accuracy: 61.5%, valid accuracy: 29.5%, time: 2022-11-19 15:14:38
epoch: 29, train loss: 2.2608, train accuracy: 64.6%, valid accuracy: 28.0%, time: 2022-11-19 15:14:43
epoch: 30, train loss: 2.2362, train accuracy: 65.9%, valid accuracy: 29.5%, time: 2022-11-19 15:14:49
epoch: 31, train loss: 2.2352, train accuracy: 65.9%, valid accuracy: 29.0%, time: 2022-11-19 15:14:54
epoch: 32, train loss: 2.2368, train accuracy: 65.4%, valid accuracy: 27.5%, time: 2022-11-19 15:15:00
epoch: 33, train loss: 2.2031, train accuracy: 68.8%, valid accuracy: 31.5%, time: 2022-11-19 15:15:05
epoch: 34, train loss: 2.1849, train accuracy: 69.9%, valid accuracy: 28.0%, time: 2022-11-19 15:15:11
epoch: 35, train loss: 2.1828, train accuracy: 69.7%, valid accuracy: 30.0%, time: 2022-11-19 15:15:16
epoch: 36, train loss: 2.1692, train accuracy: 70.4%, valid accuracy: 29.5%, time: 2022-11-19 15:15:22
epoch: 37, train loss: 2.1683, train accuracy: 70.7%, valid accuracy: 27.0%, time: 2022-11-19 15:15:28
epoch: 38, train loss: 2.1898, train accuracy: 69.8%, valid accuracy: 32.0%, time: 2022-11-19 15:15:33
epoch: 39, train loss: 2.1812, train accuracy: 70.7%, valid accuracy: 28.0%, time: 2022-11-19 15:15:39
epoch: 40, train loss: 2.1582, train accuracy: 74.3%, valid accuracy: 29.0%, time: 2022-11-19 15:15:44
epoch: 41, train loss: 2.1439, train accuracy: 75.2%, valid accuracy: 26.0%, time: 2022-11-19 15:15:50
epoch: 42, train loss: 2.1445, train accuracy: 75.2%, valid accuracy: 29.0%, time: 2022-11-19 15:15:56
