epoch: 0, train loss: 2.6883, train accuracy: 10.5%, valid accuracy: 12.0%, time: 2022-11-20 09:08:37
epoch: 1, train loss: 2.5878, train accuracy: 14.42%, valid accuracy: 14.5%, time: 2022-11-20 09:09:12
epoch: 2, train loss: 2.4969, train accuracy: 18.5%, valid accuracy: 21.0%, time: 2022-11-20 09:09:49
epoch: 3, train loss: 2.377, train accuracy: 24.16%, valid accuracy: 25.0%, time: 2022-11-20 09:10:23
epoch: 4, train loss: 2.2351, train accuracy: 29.26%, valid accuracy: 26.5%, time: 2022-11-20 09:10:57
epoch: 5, train loss: 2.0862, train accuracy: 34.62%, valid accuracy: 32.5%, time: 2022-11-20 09:11:31
epoch: 6, train loss: 1.9729, train accuracy: 38.14%, valid accuracy: 27.5%, time: 2022-11-20 09:12:05
epoch: 7, train loss: 1.8629, train accuracy: 41.9%, valid accuracy: 36.0%, time: 2022-11-20 09:12:39
epoch: 8, train loss: 1.7615, train accuracy: 45.24%, valid accuracy: 36.5%, time: 2022-11-20 09:13:14
epoch: 9, train loss: 1.6668, train accuracy: 49.76%, valid accuracy: 34.5%, time: 2022-11-20 09:13:49
epoch: 10, train loss: 1.6094, train accuracy: 51.92%, valid accuracy: 37.5%, time: 2022-11-20 09:14:23
epoch: 11, train loss: 1.5556, train accuracy: 52.4%, valid accuracy: 40.5%, time: 2022-11-20 09:14:58
epoch: 12, train loss: 1.4923, train accuracy: 55.0%, valid accuracy: 46.5%, time: 2022-11-20 09:15:32
epoch: 13, train loss: 1.447, train accuracy: 56.38%, valid accuracy: 41.0%, time: 2022-11-20 09:16:06
epoch: 14, train loss: 1.4006, train accuracy: 58.66%, valid accuracy: 40.5%, time: 2022-11-20 09:16:40
epoch: 15, train loss: 1.3477, train accuracy: 60.22%, valid accuracy: 42.5%, time: 2022-11-20 09:17:15
epoch: 16, train loss: 1.3273, train accuracy: 60.44%, valid accuracy: 40.0%, time: 2022-11-20 09:17:49
