epoch: 55, train loss: 2.0691, train accuracy: 84.62%, valid accuracy: 28.5%, time: 2022-11-19 11:06:33
epoch: 56, train loss: 2.0593, train accuracy: 85.75%, valid accuracy: 23.0%, time: 2022-11-19 11:06:36
epoch: 57, train loss: 2.0696, train accuracy: 84.62%, valid accuracy: 21.5%, time: 2022-11-19 11:06:38
epoch: 58, train loss: 2.0624, train accuracy: 85.87%, valid accuracy: 29.0%, time: 2022-11-19 11:06:40
epoch: 59, train loss: 2.0533, train accuracy: 85.75%, valid accuracy: 27.0%, time: 2022-11-19 11:06:43
epoch: 60, train loss: 2.0417, train accuracy: 86.12%, valid accuracy: 28.0%, time: 2022-11-19 11:06:45
epoch: 61, train loss: 2.0386, train accuracy: 86.87%, valid accuracy: 23.5%, time: 2022-11-19 11:06:48
epoch: 62, train loss: 2.035, train accuracy: 87.0%, valid accuracy: 23.5%, time: 2022-11-19 11:06:51
epoch: 63, train loss: 2.0251, train accuracy: 87.63%, valid accuracy: 23.5%, time: 2022-11-19 11:06:53
epoch: 64, train loss: 2.0257, train accuracy: 88.88%, valid accuracy: 23.0%, time: 2022-11-19 11:06:56
epoch: 65, train loss: 2.014, train accuracy: 90.5%, valid accuracy: 23.5%, time: 2022-11-19 11:06:59
epoch: 66, train loss: 2.0104, train accuracy: 90.5%, valid accuracy: 26.0%, time: 2022-11-19 11:07:02
epoch: 67, train loss: 2.0107, train accuracy: 90.5%, valid accuracy: 24.0%, time: 2022-11-19 11:07:05
epoch: 68, train loss: 2.0162, train accuracy: 89.88%, valid accuracy: 21.0%, time: 2022-11-19 11:07:09
epoch: 69, train loss: 2.0169, train accuracy: 90.25%, valid accuracy: 25.5%, time: 2022-11-19 11:07:14
epoch: 70, train loss: 2.01, train accuracy: 90.75%, valid accuracy: 25.0%, time: 2022-11-19 11:07:18
epoch: 71, train loss: 2.0214, train accuracy: 88.63%, valid accuracy: 20.0%, time: 2022-11-19 11:07:21
epoch: 72, train loss: 2.0015, train accuracy: 90.87%, valid accuracy: 24.0%, time: 2022-11-19 11:07:24
epoch: 73, train loss: 2.0251, train accuracy: 88.75%, valid accuracy: 21.5%, time: 2022-11-19 11:07:27
epoch: 74, train loss: 1.9982, train accuracy: 91.5%, valid accuracy: 23.5%, time: 2022-11-19 11:07:29
epoch: 75, train loss: 1.9908, train accuracy: 91.37%, valid accuracy: 25.5%, time: 2022-11-19 11:07:32
epoch: 76, train loss: 1.9865, train accuracy: 91.75%, valid accuracy: 23.0%, time: 2022-11-19 11:07:35
epoch: 77, train loss: 1.9806, train accuracy: 91.87%, valid accuracy: 24.0%, time: 2022-11-19 11:07:37
epoch: 78, train loss: 1.9864, train accuracy: 91.5%, valid accuracy: 24.0%, time: 2022-11-19 11:07:40
epoch: 79, train loss: 1.9929, train accuracy: 91.0%, valid accuracy: 22.5%, time: 2022-11-19 11:07:42
epoch: 80, train loss: 1.9932, train accuracy: 91.12%, valid accuracy: 23.0%, time: 2022-11-19 11:07:44
epoch: 81, train loss: 1.998, train accuracy: 91.0%, valid accuracy: 22.5%, time: 2022-11-19 11:07:47
epoch: 82, train loss: 1.9877, train accuracy: 91.5%, valid accuracy: 21.0%, time: 2022-11-19 11:07:49
epoch: 83, train loss: 1.9877, train accuracy: 91.5%, valid accuracy: 25.0%, time: 2022-11-19 11:07:52
epoch: 84, train loss: 1.9863, train accuracy: 91.75%, valid accuracy: 21.0%, time: 2022-11-19 11:07:54
epoch: 85, train loss: 1.9843, train accuracy: 91.87%, valid accuracy: 26.0%, time: 2022-11-19 11:07:56
epoch: 86, train loss: 2.0054, train accuracy: 89.75%, valid accuracy: 18.5%, time: 2022-11-19 11:07:59
epoch: 87, train loss: 2.0028, train accuracy: 91.12%, valid accuracy: 20.5%, time: 2022-11-19 11:08:01
epoch: 88, train loss: 1.9974, train accuracy: 91.25%, valid accuracy: 25.0%, time: 2022-11-19 11:08:04
epoch: 89, train loss: 1.9951, train accuracy: 91.25%, valid accuracy: 22.0%, time: 2022-11-19 11:08:07
epoch: 90, train loss: 1.986, train accuracy: 92.0%, valid accuracy: 27.5%, time: 2022-11-19 11:08:10
epoch: 91, train loss: 1.9897, train accuracy: 92.37%, valid accuracy: 21.5%, time: 2022-11-19 11:08:12
epoch: 92, train loss: 2.0149, train accuracy: 90.0%, valid accuracy: 18.0%, time: 2022-11-19 11:08:14
